coid,year,ROA,EPS,ROE,OM,GM,FCF,total_assets,LEV
2101,2025,2.03,1.01,6.17,6.86,21.45,-737.4774422019406,54280247,76.66
2102,2025,23.02,6.28,35.2,-85.0,20.4,5156.59358215541,12285208,21.47
2103,2025,2.1,0.54,2.81,2.7,9.8,-4.547345346651271,43258931,50.27
2104,2025,-7.43,-4.28,-15.04,-14.57,-5.22,52.97630772763252,49185584,48.14
2105,2025,3.79,1.5,5.44,7.88,22.73,-50.41193463466848,142881524,38.74
2106,2025,1.11,0.13,0.62,1.68,19.16,-11.160514011206772,45493123,57.01
2107,2025,3.45,1.67,3.81,19.6,34.15,-170.3152585119798,15414829,12.53
2108,2025,3.99,0.83,4.45,7.38,22.34,-10.596363999123854,18357583,10.23
2109,2025,5.27,1.16,7.9,10.9,21.88,-7.407446770822262,8554520,38.89
2114,2025,12.02,5.78,14.37,31.18,39.73,4.585716858830692,3805519,16.66
2115,2025,3.94,1.58,5.08,8.55,20.66,2.8389389322456466,4641302,30.18
2201,2025,1.09,0.93,3.82,8.16,32.26,22.401456510103817,366946552,74.41
2204,2025,6.0,5.47,7.71,3.54,15.15,5.175759622267358,54041212,22.74
2206,2025,6.5,5.78,13.87,8.7,20.75,-0.6345513807073443,97138190,56.45
2207,2025,5.49,33.93,18.89,13.27,20.24,-0.7357898798285458,521024955,76.25
2208,2025,-5.28,-1.77,-28.04,-13.59,-10.15,-104.09007138661433,46417525,84.62
2211,2025,10.28,8.6,12.99,23.43,27.67,3.5546853375821614,39451866,21.54
2221,2025,6.21,2.31,9.1,10.01,20.24,4.63611423015037,1728867,32.81
2227,2025,1.68,1.3,2.09,-4.05,9.47,11.156331640800046,22844322,20.81
2228,2025,6.28,5.25,8.14,9.16,23.6,-9.338912218363886,6734972,25.34
2230,2025,-3.36,-1.05,-5.71,-2.35,6.64,-10.513531544355137,2073679,41.73
2231,2025,-3.38,-1.63,-9.05,-2.69,32.62,-94.62728703643015,10933138,59.34
2233,2025,6.6,6.7,9.97,12.64,30.99,7.591794954818982,6624571,40.15
2235,2025,2.39,0.95,2.7,4.65,18.37,3.26731424246247,1412214,12.68
2236,2025,-2.97,-6.81,-18.64,-0.24,10.68,-20.584117252544633,8030353,71.28
2239,2025,-2.55,-7.87,-6.46,-2.68,10.02,-35.21072787226258,35850472,51.3
2241,2025,-2.8,-0.7,-5.06,-16.62,3.5,-26.035761488132298,2283836,33.54
2243,2025,3.15,1.22,10.91,5.95,14.39,-3.9774584888405933,3381217,76.13
2247,2025,6.77,18.32,11.31,3.5,11.17,2.4512055484673017,21766554,40.98
2248,2025,8.96,5.32,17.1,14.0,30.73,-7.699828744245927,3026838,45.11
2250,2025,3.58,3.99,5.96,4.79,17.01,0.5629197481244888,3567682,40.99
2301,2025,7.92,6.64,16.71,10.08,22.9,-3.6655282594173464,205687383,56.25
2302,2025,3.12,0.49,4.5,13.85,36.63,2.2025702172761,2606140,30.62
2303,2025,7.45,3.34,10.96,18.5,29.01,6.788354452374628,578996009,34.39
2305,2025,3.04,0.2,3.73,0.98,44.52,-4.634374398415943,3037162,20.87
2308,2025,11.9,23.14,22.46,15.13,34.27,1.526019867981122,639618600,49.13
2312,2025,2.72,1.05,5.79,2.44,6.32,11.381712927153155,118200833,69.02
2313,2025,7.76,5.51,14.22,10.72,18.58,1.7472103764588693,90497033,47.11
2314,2025,-16.55,-6.11,-136.77,-43.97,-1.52,8.106020157670086,3303281,95.9
2316,2025,14.79,13.38,21.59,-13.19,-0.47,65.64874665829082,18426031,31.75
2317,2025,5.17,13.61,11.25,3.2,6.15,-4.31381103063074,5104672223,61.39
2321,2025,0.53,-0.76,-1.27,-0.85,30.12,-10.72284539219668,1225873,63.77
2323,2025,6.76,1.58,9.15,-1.29,23.99,-2.3104392135500964,28822200,32.04
